r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p200,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_2p000
1032.4725753350253,17203.357527057866,17769.916669837723,18008.80866641587,18120.353712651133,18131.46106395207
1068.9315740119805,15802.740033329997,16315.361622970682,16529.14573236999,16626.29834155973,16630.595267591012
1106.6780244007584,14509.53457474702,14973.155910725603,15164.338868359277,15248.750253979171,15247.369734130913
1145.7573894040854,13316.124098072418,13735.255053767378,13906.10901008257,13979.259501876055,13973.194168774064
1186.2167373251093,12215.322645468159,12594.079452381715,12746.66321598327,12809.879570794777,12799.998058989093
1228.1047985578105,11200.56062716864,11542.699169956062,11678.875852468578,11733.343847812986,11720.400827740765
1271.4720242792805,10265.703319184837,10574.648871896572,10696.103372085516,10742.881468822598,10727.530021215907
1316.3706472145595,9404.888022093526,9683.760163421732,9792.014152925585,9832.045755170258,9814.849234741914
1362.8547445472223,8612.623800268857,8864.26219460129,8960.689059170722,8994.814107181424,8976.25661336644
1410.9803030514818,7883.805889365379,8110.793611721401,8196.631829789738,8225.596933877498,8206.092073955695
1460.8052865242594,7213.760689385382,7418.4470631358645,7494.812419477252,7519.279571017618,7499.177395037082
1512.3897055984369,6598.06856234231,6782.588078226599,6850.484843092878,6871.040241577127,6850.635398507264
1565.7956900213758,6032.577820500285,6198.868347676824,6259.199496603081,6276.361372457845,6255.900104851927
1621.0875634857603,5513.410772391687,5663.230797190424,5716.808108878506,5731.034457564146,5710.721395099399
1678.3319211028888,5037.023912870752,5171.968423346771,5219.520563681938,5231.214576120157,5211.216631305175
1737.5977096117279,4600.128104052449,4721.643145056527,4763.82375642885,4773.339768816138,4753.791099663807
1798.9563104203312,4199.620759540415,4309.016168230943,4346.4111151332,4354.0601805667375,4335.067186969926
1862.4816255796538,3832.620862219114,3931.0826442508296,3964.216761262292,3970.2715245841687,3951.9168174212514
1928.2501667932816,3496.4653038844594,3585.0667627093712,3614.409841959486,3619.108757899028,3601.4544274625723
1996.3411475703183,3188.721003482557,3268.433173606961,3294.4052262457167,3297.9560092819906,3281.0459712888382
2066.836578632397,2907.1091816021662,2978.809979951223,3001.7863196626395,3004.36969600916,2988.23285081327
2139.8213666897354,2649.5098877498863,2713.9926278709513,2734.30835888364,2736.0812306007247,2720.733953783463
2215.383416705201,2413.9590020450396,2471.9403549498984,2489.8946864067148,2490.993163804007,2476.4416398246167
2293.6137377695586,2198.6646984038675,2250.791767680205,2266.651396011636,2267.1928520777396,2253.4342414411194
2374.60655271542,2001.972939188618,2048.8298208839824,2062.8323292148016,2062.917687535296,2049.941762971827
2458.459411601912,1822.340044388522,1864.453682459477,1876.8106409364534,1876.526556195761,1864.3174060555177
2545.2733092067538,1658.3424517962453,1696.1881116680365,1707.0878424498487,1706.5085011255737,1695.0457367303977
2635.1528066672518,1508.6710928390848,1542.67726536734,1552.287279943247,1551.475940855721,1540.7356545054884
2728.206157416719,1372.1327858027291,1402.6856582120768,1411.1547412663538,1410.1649354558701,1400.1202758275422
2824.5454375679988,1247.6191649334714,1275.0666762706448,1282.5269723227705,1281.4038987843621,1272.0260604973578
2924.2866809011457,1134.1070705908967,1158.7625909056783,1165.3313903353462,1164.1130300681357,1155.3719346168311
3027.550018617808,1030.6546544812124,1052.8003939200225,1058.5818203233277,1057.2999839158572,1049.1649000173668
3134.4598240306873,936.4044966120495,956.2944777475489,961.3807926604923,960.0617936408744,952.5015342652455
3245.144862362308,850.5689333800635,868.4317604485597,872.904678761686,871.5701086088602,864.5534301908668
3359.738445833523,772.4190828252363,788.4604330257264,792.3923282936341,791.0597992066812,784.5558402159845
3478.3785942285667,701.2864665189974,715.6913645077772,719.1463136849275,717.8300395075967,711.8085653390883
3601.2082011300163,636.5591060393322,649.4939566310431,652.5286560585945,651.2399413939596,645.67151432154
3728.3752060239094,577.6804464191953,589.2948569446888,591.9593904969882,590.7069890351491,585.5630023369883
3860.032772482282,524.1370096712664,534.5654736850414,536.9041004195792,535.6946685951501,530.9475646087428
3996.33947263775,475.4576396639419,484.8210382289459,486.8728492407429,485.7112840671833,481.33465178798514
4137.4594781723135,429.3095784129794,437.697261222113,439.48221208430596,438.3623830970823,434.3287655360362
4283.562758050417,389.2815016353599,396.81231930605406,398.37694679444326,397.31168000885805,393.5997600551341
4434.825283234428,350.60965227517596,357.3279500264498,358.7032389099752,357.71448199381075,354.33923308183336
4591.429238629079,315.4087234878237,321.3968938526419,322.6000015578072,321.68071067597697,318.6122733293061
4753.563242510191,281.14092928556323,286.44785482094426,287.4722724358469,286.6023531804432,283.81109580756
4921.422573701883,252.05931571067103,256.7757599213738,257.6650443040099,256.85953647714183,254.32997698322515
5095.209406775984,218.90683771753137,222.9817381847547,223.7260361355251,222.9995245669546,220.773967566777
5275.133055556849,193.18345511975144,196.75407733420423,197.4008387382327,196.75084518953867,194.77660617302044
5461.410225224918,166.70181828111654,169.76740821491882,170.3115914678617,169.7359950742649,168.0153645765399
5654.2652733226105,135.65011395946237,138.13306423708056,138.56264141014358,138.08457233152697,136.67626250925608
5853.930479976966,107.60301050472589,109.56013204349459,109.89639923723186,109.51767756990938,108.40383650714226
6060.646327664458,77.88767615451579,79.3163031995559,79.53112335695022,79.22416244427095,78.38194854100301
6274.661790854956,55.67223788079874,56.710947149936146,56.84129031144215,56.59038727495114,55.95123958866395
6496.234635883687,43.90179947324209,44.711921664607786,44.82238633984941,44.63452098275288,44.14166182454098
6725.63173141237,26.017157405126294,26.505311848135076,26.54937636032656,26.414866700549272,26.098478795581993
6963.129369853452,17.35975269279123,17.693991380734243,17.708976056913226,17.60073904920307,17.368306153116574
7209.013600144576,10.434812044975592,10.63147396872637,10.64877487164948,10.59332377731335,10.46404810378929
7463.580572274113,4.74681260938671,4.839925718631041,4.836663595355771,4.799265277483292,4.727522406381977
7727.136893972626,1.796345625144141,1.8321725708067764,1.8354933575774877,1.8253508745835016,1.80199122080157
8000.0,1.6260768300249013,1.6582351417845078,1.6610506867526962,1.6517001831594076,1.6303759883887936
