r_kpc,rho_cdm_tier1_msun_kpc3,rho_sidm_tier1_sigma_0p050,rho_sidm_tier1_sigma_0p100,rho_sidm_tier1_sigma_0p200,rho_sidm_tier1_sigma_0p300,rho_cdm_tier2_msun_kpc3,rho_sidm_tier2_sigma_0p050,rho_sidm_tier2_sigma_0p100,rho_sidm_tier2_sigma_0p200,rho_sidm_tier2_sigma_0p300,rho_cdm_tier3_msun_kpc3,rho_sidm_tier3_sigma_0p050,rho_sidm_tier3_sigma_0p100,rho_sidm_tier3_sigma_0p200,rho_sidm_tier3_sigma_0p300
5275.133055556849,206.34225473401648,206.0763934469207,205.83515549484002,205.41402654724217,205.0587144739939,33.78174425283606,33.77497958894298,33.76883505751006,33.75809393760542,33.749017014151384,33.78174425283606,33.814000819348976,33.84486061050104,33.9025803330073,33.95534093879042
5461.410225224918,176.07229806398803,175.84967503982838,175.6476623688325,175.29498987025124,174.997416512413,28.680453930962827,28.674916451382636,28.6698864774739,28.661093398616632,28.653662402860686,28.680453930962827,28.705016772169063,28.72856354985451,28.772719958180456,28.81320233275572
5654.2652733226105,155.38842750406144,155.19737695557694,155.02400458064903,154.72131111653727,154.4658876033367,25.59580424639458,25.591149062468105,25.58692039119482,25.57952779824385,25.573280049961486,25.59580424639458,25.614381055803182,25.632235700048877,25.66582883652936,25.696741714135033
5853.930479976966,134.30813140149834,134.1468909099574,134.00056355744752,133.74507319168416,133.52946626925038,22.236085005540026,22.232232390040597,22.22873266371541,22.222614208661717,22.217443073487416,22.236085005540026,22.250019165583584,22.263447634514804,22.2887991491037,22.3122168925829
6060.646327664458,115.49842493274527,115.36305837192499,115.24020643551222,115.02569219511128,114.84465252321637,19.18443275818416,19.181263385948846,19.178384249528442,19.173350590854735,19.16909613419145,19.18443275818416,19.19479063018129,19.2048019102702,19.22377206108925,19.241367125852943
6274.661790854956,100.34869114529837,100.23420156287068,100.13029166248907,99.94884138061258,99.79569509192248,16.785676692154567,16.783050825944,16.780665363993876,16.776494670516023,16.772969457677043,16.785676692154567,16.79332611949511,16.800745486181768,16.81486581953073,16.828025618202403
6496.234635883687,84.7286768228313,84.63425220696413,84.5485496594236,84.39888564499269,84.27255953231047,14.230651940770334,14.22852843260722,14.22659929539152,14.223226336557374,14.220375302816882,14.230651940770334,14.23620544280876,14.241611588309926,14.251947003107464,14.261626870741244
6725.63173141237,68.43653100440194,68.36169531709942,68.29377004095873,68.17514576447576,68.07501419379275,11.42198990141025,11.420344229109764,11.418849165455072,11.416235097085663,11.414025468842768,11.42198990141025,11.425956849943688,11.429831030549483,11.43726721421527,11.44426185751504
6963.129369853452,53.11410751421907,53.05694566727689,53.00506078948983,52.914446122689384,52.83795444687228,8.908949193347413,8.907704589340927,8.906573872499342,8.904596814491638,8.902925603007153,8.908949193347413,8.911671304824464,8.91433883738011,8.919480258714753,8.924337886116648
7209.013600144576,41.219837229632894,41.17629052882845,41.13676270514576,41.06772636951929,41.00944717972486,7.03318984584435,7.032245009439213,7.031386616001646,7.029885683263986,7.028616909671513,7.03318984584435,7.035018658133209,7.036818382983678,7.040304825689524,7.0436164471805665
7463.580572274113,29.945530757961713,29.914353118096855,29.886052152525668,29.836622263080685,29.794892941841145,5.151358433363161,5.150682596748483,5.150068584770814,5.148994944756913,5.148087354536218,5.151358433363161,5.1525602231478755,5.153746942801921,5.1560552632998355,5.1582572055382006
7727.136893972626,21.761940288611168,21.739694601864844,21.719500890152425,21.684229656988762,21.65445195192776,3.839097195480099,3.8386134738074493,3.8381739956437806,3.837405524052886,3.8367558895102416,3.839097195480099,3.839828705994472,3.8405552055528425,3.8419778715026913,3.843344321475714
8000.0,14.631327485650203,14.616612919159772,14.603255313969708,14.579923569459558,14.560225014979878,2.5780877470461068,2.5777719472204828,2.5774850285746984,2.576983314829634,2.5765591788001396,2.5780877470461068,2.5785261567407503,2.5789634283694047,2.5798240088439233,2.5806548215958993
