r_kpc,rho_cdm_msun_kpc3,rho_sidm_sigma_0p500,rho_sidm_sigma_1p000,rho_sidm_sigma_3p000,rho_sidm_sigma_10p000
64.8209633606206,6034.5319759960175,5730.473868218567,5588.606116263052,5387.254952571239,5265.748688659143
67.36772520436864,5460.067679163796,5194.072332833751,5069.6741018088105,4892.80076803438,4785.886085052955
70.0145472069374,4938.524578204825,4705.934502969744,4596.912879458191,4441.632634907088,4347.616641894171
72.76536064890868,4465.20410395727,4261.916417022065,4166.420926039608,4030.17611934889,3947.5539848599706
75.6242512676154,4035.8368523166355,3858.240075671648,3774.6360418080885,3655.16116750982,3582.5965632193443
78.59546532561846,3646.507953655513,3491.4245549986986,3418.2687088779203,3313.5582467327954,3249.865268778942
81.68341591761026,3293.604084737526,3158.2389295773964,3094.257568774123,3002.537242653153,2946.664285248343
84.89268952511044,2973.8579504015365,2855.754923622054,2799.8251759277805,2719.5269175204216,2670.5424142806355
88.22805282869017,2684.272029617746,2581.2740829257823,2532.4066664754782,2462.145601704727,2419.2249343487074
91.69445978784384,2422.0886908178386,2332.301294013243,2289.624784032067,2228.178280373345,2190.5918907128007
95.29705899902183,2184.81652379557,2106.577583141639,2069.3252171505465,2015.615047218212,1982.7181678949235
99.0412013427556,1970.1665979078853,1902.018638215243,1869.5161283318907,1822.5920122129096,1793.815202444111
102.932447931231,1776.0511721575342,1716.7164669701185,1688.3710944992986,1647.3959666268381,1622.2366364812385
106.97657836811518,1600.574435644937,1548.9334315444892,1524.2244918381327,1488.4614938994637,1466.4763676749508
111.17959933290629,1442.000638684595,1397.073228282498,1375.5436957177315,1344.3447826566562,1325.1432688334046
115.54775350255345,1298.7529907754513,1259.681303095473,1240.930173688883,1213.725652571662,1196.963761736305
120.08752882360152,1169.399148963341,1135.4327453541337,1119.1083949244542,1095.3977918558787,1080.7727933075043
124.80566814862961,1052.625827752214,1023.1084313569283,1008.9026610032965,988.2465327689101,975.4921638051014
129.70917925129714,947.2483791801594,921.606557842192,909.2494687876307,891.2623029802284,880.1445851305215
134.80534523487418,852.1886650814287,829.9215837020853,819.1769334032953,803.5207129016709,793.8341588078607
140.10173534971204,766.4590624432758,747.1292238412769,737.7902358668559,724.1686394518151,715.7328392240769
145.60621623572575,689.1724274589806,672.3981374106122,664.2840394552153,652.437591371243,645.0943232390001
151.32696360658267,619.5197148908027,604.9680799545175,597.9209028268095,587.6225063115022,581.2330867114316
157.27247439295311,556.7636418507436,544.1442687841032,538.0259624911407,529.0768724530463,523.5197650558014
163.45157936286077,500.2410589964934,489.3009117719963,483.99096528472046,476.2174345381749,471.3862416871116
169.87345623787476,449.34707994123477,439.86573319240983,435.2589823885946,428.5091784180464,424.31079776439645
176.54764332462588,403.5342578768201,395.3197419564459,391.3244469981723,385.46574368533123,381.818746768428
183.48405368189555,362.30829335835966,355.1935020166122,351.72967503019197,346.64628565716026,343.4794942465837
190.69298984431538,325.2193335402941,319.0588745023747,316.05681192554636,311.6477099924708,308.8989443824786
198.1851591245512,291.8618372357561,286.52926179839915,283.92825052762004,280.1053337872452,277.7203058468089
205.97168951669565,261.86931044823535,257.25470017074014,255.00188599366422,251.6883656065535,249.61970452364517
214.06414622449142,234.90803511403266,230.91581206780992,228.96517335969028,226.09411346937765,224.3004828357151
222.47454883893707,210.67883342050618,207.22600273144135,205.53752139460792,203.0506531565757,201.49603028653107
231.21538919078338,188.91079999441476,185.92530589852234,184.46419193998304,182.31080441667848,180.96380647312486
240.29964990444276,169.357532645647,166.77676416787997,165.51275135586104,163.64868474716565,162.48195747842246
249.74082368086414,151.79897558356464,149.5686429091536,148.4754542552176,146.86233010736302,145.85207701178416
259.552933338016,136.0353082555546,134.10831996583354,133.16313546321211,131.7675922936021,130.89310839246838
269.75055263874566,121.88576752162342,120.22125281917455,119.40424507920608,118.1972705745493,117.44053455145972
280.34882793694425,109.18856404965554,107.75111773511848,107.04509170113553,106.00150257497761,105.34685789185077
291.3635006741755,97.79694335221593,96.55588434289649,95.94592344973003,95.04385457925447,94.47769626266047
302.81093076017544,73.01435854986944,72.0180430089965,71.52845388356647,70.80451189604183,70.35022033560051
314.70812087195253,64.69306741251569,63.83765061051108,63.41705446317157,62.79483490713013,62.404196510210696
327.0727417075828,57.062022436424904,56.32946292319717,55.969078278348775,55.43569752574481,55.100689103897395
339.9231582322001,49.71396716621245,49.09084452152778,48.784152706739384,48.33006384431409,48.044750638713545
353.2784569551749,42.40734336084477,41.88349174242683,41.62556394838542,41.24355978738027,41.00346858056188
367.1584742789876,36.03630477448663,35.5969923732384,35.38061345842097,35.060054131748565,34.85852574511967
381.5838259619053,31.489114288157104,31.11527278684742,30.931056975654837,30.658044529317188,30.4863455039145
396.5759377382258,27.241947592686312,26.925714035006237,26.769822139718013,26.538709707568376,26.393314909574443
412.15707714156093,23.785812115505053,23.51705966624935,23.3845172625874,23.18795152516779,23.064247886871044
428.3503865784356,20.682800634178417,20.455068066738505,20.34271026566738,20.176023805956483,20.07109004404012
445.1799177013168,18.06127409408786,17.867894674044692,17.772446818954716,17.630799195412834,17.541598870131544
462.67066713213103,15.177945418448878,15.017666711329728,14.93853504842656,14.821074925552912,14.747090232775028
480.8486135893327,13.282389310249417,13.14619780325598,13.078931478620609,12.9790510759217,12.916119218949003
499.74075647365794,11.443784181351402,11.32931952489748,11.272764917940142,11.18876613689408,11.13582630758697
519.3751559698876,9.772476394835246,9.676913378371193,9.6296829716993,9.559515168071542,9.515281209624234
539.7809747241704,8.47969731684042,8.399095096400567,8.359244863724745,8.300024342303686,8.262681079900503
560.9885211588132,7.116955560580609,7.050589259988772,7.017768877013426,6.968984892261927,6.938216328668953
583.029294488879,5.856768023819839,5.802937316414278,5.776310612456575,5.736726030369224,5.711755423531553
605.9360315074416,5.113048786276124,5.067504756188396,5.044969134848483,5.011456967659013,4.9903110298929025
629.742755209002,4.123223793964759,4.086931224256557,4.0689702556936815,4.042257202380876,4.025399157835057
654.4848253232733,3.461170478255171,3.4313876354474937,3.4166445171147863,3.394712691452652,3.3808691269691646
680.1989908343959,2.8680458050823536,2.843886460520873,2.8319242871110237,2.814125949768215,2.802889360663136
706.9234445635948,2.250984831554447,2.2322119218957828,2.2229155100070814,2.20908197736317,2.2003475318293377
734.6978798963353,1.7978030076434832,1.7830378850951873,1.775724863607134,1.7648411458290454,1.7579682352404886
763.5635497382506,1.381159247810133,1.369914536232134,1.3643444814408914,1.3560539540071945,1.35081810888681
793.5633277873934,1.0574228520087008,1.0488869892122512,1.0446582629182009,1.0383635741234094,1.0343878170632956
824.7417722138216,0.8328436775835573,0.826221483773296,0.8229402518412232,0.8180552834179947,0.8149694955285551
857.1451918411111,0.6640169350284117,0.6588333753041715,0.656264484192251,0.6524394202991166,0.6500227933664066
890.8217149280728,0.594061095014049,0.5895973125270473,0.5873843947945387,0.584088465210945,0.5820055772561574
925.8213606528581,0.4573538225103663,0.45399561755834816,0.452330453775199,0.44984993802064666,0.44828210152637976
962.1961134056082,0.21805144927677447,0.21639733562273858,0.21557732843797328,0.21435602985124877,0.2135842358784033
1000.0,0.19530694649809335,0.19388104247708282,0.19317393951480136,0.19212051662493984,0.19145463705000848
