M200,m200_msun,z,c200,weight
116689259239138.58,116689259239138.58,0.1,4.502990376113307,0.0025
121395902130739.0,121395902130739.0,0.1,7.8969059144609295,0.0025
168609392217472.3,168609392217472.3,0.1,3.489531661450949,0.0025
803487083036314.6,803487083036314.6,0.1,5.808538949154543,0.0025
129620806617468.19,129620806617468.19,0.1,4.287573589422634,0.0025
211440933793578.25,211440933793578.25,0.1,10.08155634432926,0.0025
114650734913577.81,114650734913577.81,0.1,3.7932493192090915,0.0025
259186547319743.5,259186547319743.5,0.1,1.5212838470555328,0.0025
169958184432370.6,169958184432370.6,0.1,4.9045174666428,0.0025
272355375944472.6,272355375944472.6,0.1,3.09286771554868,0.0025
181887715833127.47,181887715833127.47,0.1,1.5341089371672494,0.0025
689683259186023.4,689683259186023.4,0.1,2.2968706743118332,0.0025
178919412981766.84,178919412981766.84,0.1,2.0404101608412284,0.0025
306103574432605.0,306103574432605.0,0.1,6.022059441506651,0.0025
447550270013914.5,447550270013914.5,0.1,3.2783230543705986,0.0025
363304591144450.5,363304591144450.5,0.1,3.168256358157488,0.0025
114199855023493.56,114199855023493.56,0.1,3.4407019445594185,0.0025
211570017792344.38,211570017792344.38,0.1,4.428540391097503,0.0025
125168024620628.86,125168024620628.86,0.1,2.4711888933916013,0.0025
121098309563659.89,121098309563659.89,0.1,3.281866341508599,0.0025
246117605132121.66,246117605132121.66,0.1,5.586994975087972,0.0025
412921858925484.9,412921858925484.9,0.1,3.933284115897088,0.0025
114667209729488.9,114667209729488.9,0.1,4.8434892049305756,0.0025
301257022394358.8,301257022394358.8,0.1,4.3752173044228915,0.0025
147270113485847.7,147270113485847.7,0.1,2.376146751631031,0.0025
524535538704734.94,524535538704734.94,0.1,8.452256261132312,0.0025
263794700967400.3,263794700967400.3,0.1,3.633234476604083,0.0025
101221636587827.81,101221636587827.81,0.1,3.3067808610380585,0.0025
471782138826631.7,471782138826631.7,0.1,1.5859012296607482,0.0025
129352094596001.3,129352094596001.3,0.1,5.258595569278597,0.0025
260950903351267.84,260950903351267.84,0.1,3.4626864438831007,0.0025
187942819439145.2,187942819439145.2,0.1,3.383542326979095,0.0025
165918747086720.47,165918747086720.47,0.1,3.9714587406427917,0.0025
263188284346684.0,263188284346684.0,0.1,4.417667530821229,0.0025
163742270531106.38,163742270531106.38,0.1,4.556228199251837,0.0025
569888252459230.9,569888252459230.9,0.1,3.3628139956696748,0.0025
892626146399288.2,892626146399288.2,0.1,4.001216321106382,0.0025
469328775020154.56,469328775020154.56,0.1,2.302669565612364,0.0025
156360436042966.25,156360436042966.25,0.1,1.8301357932517857,0.0025
478195803745866.2,478195803745866.2,0.1,2.796686917499366,0.0025
363697639572501.7,363697639572501.7,0.1,3.309516846024779,0.0025
144486051147784.7,144486051147784.7,0.1,3.929258448677128,0.0025
121765184525529.84,121765184525529.84,0.1,4.6129140404974835,0.0025
712461135190855.9,712461135190855.9,0.1,4.410091032754186,0.0025
832616675243855.9,832616675243855.9,0.1,2.6031445874084684,0.0025
777051594088973.6,777051594088973.6,0.1,4.5708260056992085,0.0025
119881531682436.53,119881531682436.53,0.1,5.369416466093388,0.0025
379127322145353.75,379127322145353.75,0.1,2.1547211416912297,0.0025
178145144887265.94,178145144887265.94,0.1,2.509803258447048,0.0025
485503163155961.8,485503163155961.8,0.1,2.4846935570405995,0.0025
179007186335132.56,179007186335132.56,0.1,4.502775907528645,0.0025
306572730375209.6,306572730375209.6,0.1,9.138639393974966,0.0025
225244318827424.72,225244318827424.72,0.1,8.5696420194237,0.0025
320759195865444.2,320759195865444.2,0.1,3.241734416718858,0.0025
384918703262816.25,384918703262816.25,0.1,1.6780356643990557,0.0025
122963723429056.6,122963723429056.6,0.1,2.3375089757112257,0.0025
172853434692251.22,172853434692251.22,0.1,5.249272450882802,0.0025
623742715180358.6,623742715180358.6,0.1,4.364020071300863,0.0025
143913929951307.25,143913929951307.25,0.1,8.784224013295189,0.0025
291107814492077.06,291107814492077.06,0.1,2.8889546746329167,0.0025
414573322452059.44,414573322452059.44,0.1,2.3074215097884467,0.0025
338350173248342.4,338350173248342.4,0.1,9.183570527750392,0.0025
726618701762024.4,726618701762024.4,0.1,3.459940448066947,0.0025
234281849303095.28,234281849303095.28,0.1,5.814389051117046,0.0025
239107251341568.94,239107251341568.94,0.1,4.212454011344618,0.0025
171574404267874.78,171574404267874.78,0.1,5.529207009315047,0.0025
138657177927134.81,138657177927134.81,0.1,5.588415634840947,0.0025
217414592671638.4,217414592671638.4,0.1,2.1649938895917558,0.0025
